Thu Dec  8 21:46:13 2022    nc.py-profile.txt

         97926504 function calls (97726119 primitive calls) in 96.190 seconds

   Ordered by: cumulative time
   List reduced from 7517 to 10 due to restriction <10>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1070/1    0.013    0.000   96.237   96.237 {built-in method builtins.exec}
      202    0.008    0.000   44.829    0.222 /Users/sherzodnimatullo/code/projects/416/gerrychain/env/lib/python3.10/site-packages/gerrychain/chain.py:61(__next__)
      347    0.022    0.000   43.920    0.127 /Users/sherzodnimatullo/code/projects/416/gerrychain/env/lib/python3.10/site-packages/gerrychain/proposals/tree_proposals.py:11(recom)
      347    0.080    0.000   42.684    0.123 /Users/sherzodnimatullo/code/projects/416/gerrychain/env/lib/python3.10/site-packages/gerrychain/tree.py:310(recursive_tree_part)
      347    0.060    0.000   42.107    0.121 /Users/sherzodnimatullo/code/projects/416/gerrychain/env/lib/python3.10/site-packages/gerrychain/tree.py:163(bipartition_tree)
      760    0.673    0.001   32.488    0.043 /Users/sherzodnimatullo/code/projects/416/gerrychain/env/lib/python3.10/site-packages/gerrychain/tree.py:17(random_spanning_tree)
       53   26.326    0.497   26.341    0.497 /Users/sherzodnimatullo/code/projects/416/gerrychain/env/lib/python3.10/site-packages/shapely/ops.py:144(unary_union)
        4    0.000    0.000   21.264    5.316 /Users/sherzodnimatullo/code/projects/416/gerrychain/env/lib/python3.10/site-packages/geopandas/geodataframe.py:1569(dissolve)
        4    0.000    0.000   21.222    5.306 /Users/sherzodnimatullo/code/projects/416/gerrychain/env/lib/python3.10/site-packages/pandas/core/groupby/generic.py:256(aggregate)
        4    0.000    0.000   21.222    5.305 /Users/sherzodnimatullo/code/projects/416/gerrychain/env/lib/python3.10/site-packages/pandas/core/groupby/groupby.py:1646(_python_agg_general)


